0;0;0;0;0;0;0;0;;;;#;Evento;T Inicial;T Final;A;C;FN;FM;FD;D
0,044;-0,020134557;-0,000122324;1,016132518;2,0516;-0,96853;-45,25121;0;Fecha;1/08/2016;;1;C;41,44;43,07;6;12;15;2;0;2
0,044;-0,065040775;-0,036730887;1,056158002;2,0516;-0,96853;-45,25121;0;Hora;12:38-12:44;;2;C;47,03;48,35;;;;;;
0,086;-0,048811417;-0,001830785;0,980133537;2,04134;-0,9121;-45,24501;0;Ruta;M82;;3;FN;55,22;56,62;;;;;;
0,124;-0,056377166;-0,029653415;0,991604485;2,04626;-0,8543;-45,24364;0;Trayecto;MN-Jave;;4;FN;58,38;59,19;;;;;;
0,161;-0,016474006;-0,029042813;0,984404689;2,06094;-0,80142;-45,24434;0;;;;5;A;62,81;63,81;;;;;;
0,205;-0,051862385;-0,022819572;1,051154944;2,04863;-0,7451;-45,24529;0;;;;6;C;65,77;67,41;;;;;;
0,24;0,005125382;-0,001464832;0,913261978;2,05717;-0,71071;-45,25751;0;;;;7;FN;73,84;74,92;;;;;;
0,242;-0,064431193;-0,004514781;0,993556575;2,05717;-0,71071;-45,25751;0;;;;8;FM;76,84;77,6;;;;;;
0,282;-0,091521916;-0,021599388;1,032118247;2,05897;-0,6879;-45,27617;0;;;;9;FN;81,71;82,51;;;;;;
0,34;-0,065895005;0,001830785;1,015400612;2,11626;-0,64829;-45,31178;0;;;;10;FN;89,34;90,42;;;;;;
0,361;-0,077976555;-0,016717635;1,049201835;2,11626;-0,64829;-45,31178;0;;;;11;C;98,73;99,43;;;;;;
0,401;-0,054668705;-0,004880734;0,993190622;2,18044;-0,59947;-45,35756;0;;;;12;FN;99,43;100,2;;;;;;
0,44;-0,063333333;-0,036364934;1,072265036;2,21231;-0,57198;-45,42255;0;;;;13;FN;104,4;105,1;;;;;;
0,443;-0,051374108;-0,0157421;1,039440367;2,21231;-0,57198;-45,42255;0;;;;14;FN;106,2;106,8;;;;;;
0,481;-0,056377166;-0,020988787;1,082272171;2,22424;-0,52738;-45,4985;0;;;;15;FN;112,9;113,3;;;;;;
0,522;-0,008054027;0,002196738;1,003441386;2,23756;-0,48813;-45,57942;0;;;;16;D;117,6;167,3;;;;;;
0,561;-0,046126402;-0,004880734;0,997461774;2,22959;-0,46138;-45,68656;0;;;;17;A;168;169,5;;;;;;
0,61;-0,068702345;-0,030873598;1,044443425;2,24274;-0,42603;-45,80767;0;;;;18;C;173,3;174,9;;;;;;
0,641;-0,006345566;-0,00366055;0,949992864;2,23545;-0,39786;-45,93579;0;;;;19;C;183,1;184,5;;;;;;
0,644;-0,024039755;-0,00927421;0,996363914;2,23545;-0,39786;-45,93579;0;;;;20;FN;188,1;190,2;;;;;;
0,682;0,004393476;-0,000365953;0,90716106;2,21562;-0,38888;-46,07624;0;;;;21;FM;191,1;195,4;;;;;;
0,722;0,01012844;0,015985729;0,995875637;2,16081;-0,37109;-46,22298;0;;;;22;D;198,9;207,7;;;;;;
0,759;-0,047468909;-0,026357798;1,034070336;2,13861;-0,34562;-46,36972;0;;;;23;A;207,8;209;;;;;;
0,799;-0,03429052;-0,048079511;0,958656473;2,16801;-0,29493;-46,50175;0;;;;24;C;213,1;214,4;;;;;;
0,838;-0,062479103;-0,002196738;1,064821611;2,16801;-0,29493;-46,50175;0;;;;25;GI;213,7;214,6;;;;;;
0,84;-0,06772579;-0,034045872;0,989530071;2,16801;-0,29493;-46,50175;0;;;;26;C;218,8;220,2;;;;;;
0,882;-0,1039684;-0,007688073;1,014667686;2,3135;-0,21708;-46,63487;0;;;;27;FN;235,8;237,1;;;;;;
0,921;-0,073583078;-0,025137615;1,042246687;2,42418;-0,15799;-46,76731;0;;;;28;FN;250,3;252,4;;;;;;
0,963;-0,068214067;-0,001220183;1,047615698;2,51689;-0,11642;-46,89788;0;;;;29;FN;253,14;253,5;;;;;;
1,013;-0,066505607;-0,008297655;1,086543323;2,58982;-0,09218;-47,03601;0;;;;30;A;254,8;256,8;;;;;;
1,039;-0,065895005;0,016717635;1,005760449;2,60603;-0,08036;-47,17726;0;;;;31;C;260,2;261,7;;;;;;
1,041;-0,07980632;-0,042099898;1,055426096;2,60603;-0,08036;-47,17726;0;;;;32;C;265,2;266,3;;;;;;
1,081;-0,089325178;0,00927421;1,072753313;2,64636;-0,06575;-47,31945;0;;;;33;C;270,9;272;;;;;;
1,122;-0,097988787;0,013423038;1,014912334;2,64636;-0,06575;-47,31945;0;;;;34;FN;273,1;277,7;;;;;;
1,16;-0,068214067;0,027700306;1,06116106;2,74315;-0,05599;-47,45836;0;;;;35;A;281,2;283,7;;;;;;
1,199;-0,053936799;0,041856269;0,893738022;2,72011;-0,09186;-47,6059;0;;;;36;A;287,8;290,2;;;;;;
1,239;-0,022574924;0,06858002;0,968175331;2,72011;-0,09186;-47,6059;0;;;;37;C;291,6;292,4;;;;;;
1,241;-0,004393476;0,080173293;0,888246687;2,72011;-0,09186;-47,6059;0;;;;38;FN;297,7;298,7;;;;;;
1,286;-0,022940877;0,06858002;1,012471967;2,50305;-0,25092;-47,7581;0;;;;;;;;;;;;;
1,319;0,011104995;0,009884811;0,943647299;2,39882;-0,32837;-47,89856;0;;;;;;;;;;;;;
1,359;-0,047591233;0,02587054;0,933518858;2,24258;-0,35985;-48,03122;0;;;;;;;;;;;;;
1,399;-0,012325178;-0,006955148;0,965734964;2,19054;-0,40557;-48,16647;0;;;;;;;;;;;;;
1,439;-0,02501631;-0,001342508;0,976472987;2,19054;-0,40557;-48,16647;0;;;;;;;;;;;;;
1,441;-0,052106014;-0,005247706;1,087884811;2,19054;-0,40557;-48,16647;0;;;;;;;;;;;;;
1,481;-0,013300714;0,027700306;0,988066259;2,0664;-0,40971;-48,30102;0;;;;;;;;;;;;;
1,521;-0,019158002;-0,042465851;1,026138634;2,03971;-0,41705;-48,42068;0;;;;;;;;;;;;;
1,56;-0,022819572;-0,039537207;1,052984709;2,02595;-0,39888;-48,52982;0;;;;;;;;;;;;;
1,601;-0,021965341;-0,046493374;1,03443629;2,00432;-0,45732;-48,6316;0;;;;;;;;;;;;;
1,639;-0,029531091;0,146311927;0,947430173;2,03766;-0,43034;-48,72741;0;;;;;;;;;;;;;
1,678;-0,013788991;0,070044852;0,996607543;2,05921;-0,47366;-48,81876;0;;;;;;;;;;;;;
1,681;-0,076634047;-0,045150866;1,056401631;2,05921;-0,47366;-48,81876;0;;;;;;;;;;;;;
1,72;-0,031360856;-0,023673802;0,966955148;2,15169;-0,50403;-48,9056;0;;;;;;;;;;;;;
1,759;-0,098599388;0,001097859;1,074950051;2,23008;-0,5191;-48,98899;0;;;;;;;;;;;;;
1,808;-0,05283792;-0,029408767;0,974764526;2,34914;-0,52697;-49,0692;0;;;;;;;;;;;;;
1,837;-0,072973496;-0,021111111;1,064333333;2,40674;-0,54515;-49,10725;0;;;;;;;;;;;;;
1,878;-0,02867686;-0,008542304;1,000146789;2,47604;-0,50166;-49,18411;0;;;;;;;;;;;;;
1,88;-0,019036697;-0,090179409;1,014546381;2,47604;-0,50166;-49,18411;0;;;;;;;;;;;;;
1,919;-0,00841998;0,036730887;1,057744139;2,49515;-0,48866;-49,22432;0;;;;;;;;;;;;;
1,958;-0,039659531;0,019768603;0,984892966;2,50622;-0,53583;-49,26733;0;;;;;;;;;;;;;
1,998;-0,059550459;0,035388379;1,070557594;2,49675;-0,49834;-49,31666;0;;;;;;;;;;;;;
2,039;0,038073394;0,029408767;0,987212029;2,47911;-0,53082;-49,37071;0;;;;;;;;;;;;;
2,077;-0,015131498;0,003416922;0,998316004;2,42188;-0,51308;-49,45799;0;;;;;;;;;;;;;
2,078;-0,05479103;0,023429154;1,022721713;2,42188;-0,51308;-49,45799;0;;;;;;;;;;;;;
2,119;-0,00732212;-0,021111111;0,98696738;2,4049;-0,50195;-49,51252;0;;;;;;;;;;;;;
2,159;-0,076390418;0,021233435;1,041270133;2,34781;-0,48866;-49,61026;0;;;;;;;;;;;;;
2,198;-0,040879715;-0,029897044;1,049690112;2,3787;-0,4735;-49,70782;0;;;;;;;;;;;;;
2,238;-0,010738022;0,000488277;1,000024465;2,34552;-0,46597;-49,805;0;;;;;;;;;;;;;
2,277;-0,072119266;-0,041977574;1,057012232;2,34552;-0,46597;-49,805;0;;;;;;;;;;;;;
2,28;-0,049299694;0,059428135;1,066164118;2,38422;-0,44453;-49,89915;0;;;;;;;;;;;;;
2,328;-0,069800204;-0,034534149;0,993312946;2,38494;-0,4555;-49,93788;0;;;;;;;;;;;;;
2,359;-0,058573904;0,021233435;1,110094801;2,40806;-0,41723;-50,00612;0;;;;;;;;;;;;;
2,398;-0,04551682;-0,014643221;0,972324159;2,40591;-0,4206;-50,02678;0;;;;;;;;;;;;;
2,44;-0,041123344;0,02782263;1,138527013;2,37228;-0,37521;-50,04169;0;;;;;;;;;;;;;
2,477;-0,060160041;-0,018670744;0,993801223;2,37228;-0,37521;-50,04169;0;;;;;;;;;;;;;
2,48;-0,003539246;-0,010860347;1,123151886;2,37228;-0,37521;-50,04169;0;;;;;;;;;;;;;
2,519;0,005247706;-0,033557594;0,971713558;2,28599;-0,33469;-50,02674;0;;;;;;;;;;;;;
2,559;-0,06040367;0,02135474;1,097281346;2,20714;-0,29594;-50,00576;0;;;;;;;;;;;;;
2,597;-0,022697248;-0,013057085;0,970981651;2,20714;-0,29594;-50,00576;0;;;;;;;;;;;;;
2,637;-0,034900102;0,017450561;0,957924567;2,11138;-0,19451;-49,94116;0;;;;;;;;;;;;;
2,677;-0,029042813;-0,004759429;0,962927625;2,11138;-0,19451;-49,94116;0;;;;;;;;;;;;;
2,68;0,012568807;-0,019890928;0,895324159;2,07606;-0,17283;-49,91413;0;;;;;;;;;;;;;
2,719;-0,024528033;-0,018914373;0,985137615;1,97526;-0,13241;-49,88963;0;;;;;;;;;;;;;
2,76;0,012813456;0,016717635;0,864206932;1,89331;-0,11899;-49,86498;0;;;;;;;;;;;;;
2,798;0,003172273;-0,062600408;0,968907238;1,80683;-0,11877;-49,87883;0;;;;;;;;;;;;;
2,849;0,00280632;0,063820591;0,914482161;1,6927;-0,11856;-49,84971;0;;;;;;;;;;;;;
2,876;-0,013788991;-0,07053211;0,997827727;1,6927;-0,11856;-49,84971;0;;;;;;;;;;;;;
2,878;0,007688073;0,025748216;0,997218145;1,6927;-0,11856;-49,84971;0;;;;;;;;;;;;;
2,919;-0,021111111;-0,07333945;1,019793068;1,56335;-0,15777;-49,81474;0;;;;;;;;;;;;;
2,958;-0,05283792;-0,015497452;1,008444444;1,53894;-0,13249;-49,81251;0;;;;;;;;;;;;;
2,998;0,001708461;0,025137615;1,061038736;1,55523;-0,16083;-49,80415;0;;;;;;;;;;;;;
3,038;-0,065285423;0,046980632;1,066286442;1,55228;-0,1728;-49,76775;0;;;;;;;;;;;;;
3,081;0,006589195;-0,024405708;1,110094801;1,55228;-0,1728;-49,76775;0;;;;;;;;;;;;;
3,082;-0,036608563;-0,038194699;1,01112946;1,54434;-0,19525;-49,7132;0;;;;;;;;;;;;;
3,118;0,043076453;0,062356779;1,063479103;1,54434;-0,19525;-49,7132;0;;;;;;;;;;;;;
3,158;-0,068823649;0,036852192;1,017718654;1,52602;-0,21365;-49,54691;0;;;;;;;;;;;;;
3,198;-0,000976555;0,01659633;1,039440367;1,50538;-0,21805;-49,43909;0;;;;;;;;;;;;;
3,237;0,009884811;-0,03795107;0,963415902;1,45926;-0,24729;-49,31004;0;;;;;;;;;;;;;
3,276;0,020379205;0,054425076;1,071655454;1,45926;-0,24729;-49,31004;0;;;;;;;;;;;;;
3,279;0,010738022;-0,029897044;0,95267788;1,40874;-0,25414;-49,16959;0;;;;;;;;;;;;;
3,318;0,001220183;0,02977472;1,0212579;1,37401;-0,25764;-49,01279;0;;;;;;;;;;;;;
3,37;-0,019280326;0,005857288;1,000635066;1,32847;-0,26916;-48,84792;0;;;;;;;;;;;;;
3,398;0,004393476;0,023551478;1,029067278;1,32847;-0,26916;-48,84792;0;;;;;;;;;;;;;
3,436;-0,051008155;0,015497452;1,008200815;1,35089;-0,2531;-48,66732;0;;;;;;;;;;;;;
3,485;-0,007565749;-0,02587054;1,072509684;1,41788;-0,25077;-48,47884;0;;;;;;;;;;;;;
3,486;-0,048200815;-0,020012232;0,990140673;1,41788;-0,25077;-48,47884;0;;;;;;;;;;;;;
3,516;-0,061746177;0,006955148;1,076902141;1,50869;-0,21808;-48,2879;0;;;;;;;;;;;;;
3,558;-0,031360856;0,008054027;0,988675841;1,62021;-0,20163;-48,09958;0;;;;;;;;;;;;;
3,6;-0,069068298;-0,012202854;1,049446483;1,7237;-0,17898;-47,90385;0;;;;;;;;;;;;;
3,636;-0,038927625;0,000488277;1,074584098;1,86421;-0,15252;-47,70766;0;;;;;;;;;;;;;
3,676;-0,039537207;-0,021720693;0,984527013;1,91609;-0,14732;-47,50158;0;;;;;;;;;;;;;
3,679;-0,076511723;0,005247706;1,070557594;1,91609;-0,14732;-47,50158;0;;;;;;;;;;;;;
3,718;-0,03709684;0,006955148;0,956460754;2,03307;-0,11034;-47,2803;0;;;;;;;;;;;;;
3,757;-0,072728848;-0,021843017;1,068849134;2,06407;-0,10951;-47,05236;0;;;;;;;;;;;;;
3,797;-0,060891947;-0,007077472;0,965856269;2,14219;-0,07458;-46,86311;0;;;;;;;;;;;;;
3,836;-0,035754332;0,008908257;0,973666667;2,19013;-0,06605;-46,6626;0;;;;;;;;;;;;;
3,891;-0,079685015;-0,011592253;0,985381244;2,22313;-0,06388;-46,45704;0;;;;;;;;;;;;;
3,892;-0,075536188;-0,00195209;1,039318043;2,22313;-0,06388;-46,45704;0;;;;;;;;;;;;;
3,92;-0,076511723;-0,01769419;0,992703364;2,25121;-0,06902;-46,23834;0;;;;;;;;;;;;;
3,957;-0,063820591;0,014399592;1,04066055;2,25121;-0,06902;-46,23834;0;;;;;;;;;;;;;
4,007;-0,069556575;0,01208053;0,952189602;2,30736;-0,08497;-46,09332;0;;;;;;;;;;;;;
