0;0;0;0;0;0;0;0;;;;#;Evento;T Inicial;T Final;A;C;FN;FM;FD;D
0,02;0,011028542;0,023383282;1,121671764;0,82093;-1,182;-133,94135;0;Fecha;3/08/2016;;1;FN;12,81;14,45;17;8;15;2;1;3
0,021;-0,026068298;-0,053006116;0,663820591;1,29709;-1,14277;-133,67313;0;Hora;9:20 - 9:26;;2;FM;14,45;16,08;;;;;;
0,061;-0,030583078;0,027044852;0,908609582;1,32486;-1,17404;-133,76755;0;Ruta;L82;;3;D;28,51;49,9;;;;;;
0,103;-0,028142712;-0,037874618;0,84112844;1,2888;-1,27052;-133,85913;0;Trayecto;Jave - MN;;4;A;49,9;51,34;;;;;;
0,144;0,038606524;0,060236493;0,86809684;1,28458;-1,34541;-133,94691;0;;;;5;A;53,38;55,06;;;;;;
0,182;-0,011913354;-0,023109072;1,004523955;1,32327;-1,46728;-134,03728;0;;;;6;C;58,34;59,45;;;;;;
0,232;-0,120152905;-0,004805301;1,11764526;1,25251;-1,66593;-134,1326;0;;;;7;FN;59,45;59,97;;;;;;
0,233;-0,121860347;0,113074414;0,926792049;1,25251;-1,66593;-134,1326;0;;;;8;FN;60,89;62,05;;;;;;
0,263;-0,050718654;0,093062181;1,22332212;1,47023;-1,76828;-134,21655;0;;;;9;A;64,84;65,41;;;;;;
0,303;-0,057917431;0,00617737;1,055410805;1,54621;-1,97326;-134,26141;0;;;;10;FN;65,41;66,08;;;;;;
0,345;-0,092085627;0,000686035;1,209044852;1,69842;-2,10797;-134,30119;0;;;;11;A;67,08;68,41;;;;;;
0,381;0,074117227;0,126131498;1,190251784;1,77453;-2,23173;-134,34126;0;;;;12;C;69;70,12;;;;;;
0,421;-0,069388379;0,117101937;1,118743119;1,77453;-2,23173;-134,34126;0;;;;13;FN;73,51;74,88;;;;;;
0,463;-0,015696228;0,039369011;1,188543323;1,80153;-2,37451;-134,37956;0;;;;14;A;76,07;77,39;;;;;;
0,463;0,017862385;0,089279307;1,133020387;1,84465;-2,42613;-134,41458;0;;;;15;FN;79,31;82,22;;;;;;
0,506;-0,052914373;0,05620897;1,134362895;1,87073;-2,47588;-134,4482;0;;;;16;A;83,82;85,98;;;;;;
0,542;-0,020333333;0,064507645;1,062122324;1,88817;-2,49849;-134,48039;0;;;;17;C;88,26;89,38;;;;;;
0,582;-0,10172579;0,014963303;1,032346585;1,90287;-2,51149;-134,51125;0;;;;18;A;92,45;92,93;;;;;;
0,621;0,089492355;0,068168196;1,063220183;1,90287;-2,51149;-134,51125;0;;;;19;FN;94,97;96,12;;;;;;
0,662;0,019082569;0,027533129;0,979630989;1,8212;-2,4895;-134,58398;0;;;;20;FN;99,12;99,88;;;;;;
0,665;0,001388379;0,029607543;0,881397554;1,79279;-2,48377;-134,61234;0;;;;21;A;104,4;104,9;;;;;;
0,703;0,111214067;0,072682977;1,085917431;1,80912;-2,48274;-134,63728;0;;;;22;A;107,2;107,6;;;;;;
0,753;-0,025702345;-0,018960245;0,873954128;1,63981;-2,45572;-134,66708;0;;;;23;A;108,9;109,3;;;;;;
0,781;-0,013865443;-0,00504893;0,94875739;1,63082;-2,37046;-134,68779;0;;;;24;FN;113,5;114,7;;;;;;
0,821;-0,044250765;0,052060143;0,942534149;1,63082;-2,37046;-134,68779;0;;;;25;A;119,9;120,5;;;;;;
0,86;0,007123344;0,058528033;0,877614679;1,553;-2,29422;-134,7504;0;;;;26;A;124;124,7;;;;;;
0,865;-0,079639144;0,001540265;0,95437105;1,553;-2,29422;-134,7504;0;;;;27;FN;131,6;132;;;;;;
0,903;-0,121860347;-0,009075433;0,921057085;1,4751;-2,24045;-134,77167;0;;;;28;A;135,6;139,9;;;;;;
0,942;0,04495209;0,059504587;0,990003058;1,64227;-2,17059;-134,82289;0;;;;29;FM;139,9;140,9;;;;;;
0,982;-0,115148828;-0,001143731;0,899457696;1,57214;-2,16318;-134,88631;0;;;;30;D;144,3;145,4;;;;;;
1,028;-0,141873598;0,032536188;0,926182467;1,68984;-2,12553;-134,94437;0;;;;31;A;152;154,9;;;;;;
1,06;0,048734964;0,00422528;0,920812436;1,71272;-2,08897;-135,0069;0;;;;32;GI;154,3;162;;;;;;
1,063;-0,144191641;0,063897044;0,890794088;1,71272;-2,08897;-135,0069;0;;;;33;C;160,4;161,1;;;;;;
1,103;-0,005201835;-0,013591233;1,023682977;1,73272;-2,15672;-135,06996;0;;;;34;C;166,4;167,5;;;;;;
1,143;-0,15456473;0,066337411;1,073836901;1,78102;-2,10176;-135,13356;0;;;;35;GI;171,5;173;;;;;;
1,183;0,038728848;0,081591233;0,952540265;1,92783;-2,1708;-135,19452;0;;;;36;C;178,1;179,7;;;;;;
1,221;-0,098431193;-0,018471967;0,78743527;1,94455;-2,19905;-135,26158;0;;;;37;FD;186,5;188,4;;;;;;
1,265;-0,054745158;0,055111111;1,39050051;2,11761;-2,28235;-135,32321;0;;;;38;FN;196;196,6;;;;;;
1,299;-0,012156983;0,052060143;0,784140673;2,27413;-2,25431;-135,38562;0;;;;39;FN;199,7;201,2;;;;;;
1,302;-0,166522936;0,118077472;1,11398369;2,27413;-2,25431;-135,38562;0;;;;40;A;205;205,4;;;;;;
1,342;0,05141998;-0,009929664;0,967183486;2,44125;-2,36059;-135,40817;0;;;;41;FN;212,1;212,9;;;;;;
1,399;-0,181410805;0,16579103;1,105930683;2,45931;-2,32807;-135,481;0;;;;42;D;218;266,4;;;;;;
1,42;0,010417941;0,036319062;1,014408767;2,61739;-2,37705;-135,55034;0;;;;43;A;266,4;267,8;;;;;;
1,46;-0,106607543;0,085130479;1,025025484;2,55903;-2,40431;-135,59058;0;;;;44;C;272;273,4;;;;;;
1,503;0,030186544;0,039857288;0,906169215;2,72105;-2,36649;-135,66487;0;;;;45;FN;278,1;279,4;;;;;;
1,521;-0,183485219;0,042176351;0,973285423;2,72105;-2,36649;-135,66487;0;;;;46;A;280,2;281;;;;;;
1,54;-0,07024261;0,029119266;0,874075433;2,64471;-2,39313;-135,75124;0;;;;47;C;286,5;287,6;;;;;;
1,579;-0,071219164;0,02838736;0,939726809;2,69286;-2,33308;-135,83336;0;;;;48;FN;293;296;;;;;;
1,619;-0,017404689;-0,001022426;0,989759429;2,63788;-2,33357;-135,91978;0;;;;;;;;;;;;;
1,659;-0,151879715;-0,012126402;0,864191641;2,62641;-2,28344;-136,00812;0;;;;;;;;;;;;;
1,7;-0,013133537;0,080737003;1,109957187;2,55142;-2,22069;-136,0999;0;;;;;;;;;;;;;
1,701;-0,031316004;-0,03091947;0,92740265;2,55142;-2,22069;-136,0999;0;;;;;;;;;;;;;
1,742;-0,124545362;-0,016519878;1,069077472;2,55142;-2,22069;-136,0999;0;;;;;;;;;;;;;
1,781;-0,065727829;0,016671764;0,958763507;2,49354;-2,05641;-136,23111;0;;;;;;;;;;;;;
1,82;-0,004102956;0,015330275;1,058583078;2,53902;-2,01119;-136,31833;0;;;;;;;;;;;;;
1,86;0,019570846;0,007276249;1,045037717;2,51933;-1,96952;-136,40727;0;;;;;;;;;;;;;
1,916;0,00309684;0,018746177;1,007819572;2,54743;-1,91151;-136,49777;0;;;;;;;;;;;;;
1,917;0,023231397;0,016794088;0,923253823;2,54743;-1,91151;-136,49777;0;;;;;;;;;;;;;
1,941;-0,075733945;-0,042389399;0,793171254;2,4866;-1,83821;-136,55281;0;;;;;;;;;;;;;
1,981;-0,09245158;0,097333333;1,073836901;2,5591;-1,78657;-136,6445;0;;;;;;;;;;;;;
2,023;-0,017770642;-0,025183486;0,839663609;2,5591;-1,78657;-136,6445;0;;;;;;;;;;;;;
2,062;-0,150659531;-0,058497452;0,781577982;2,45801;-1,80185;-136,78136;0;;;;;;;;;;;;;
2,099;-0,075490316;0,058771662;0,978654434;2,45801;-1,80185;-136,78136;0;;;;;;;;;;;;;
2,104;-0,150171254;-0,075825688;1,159622834;2,55865;-1,8724;-136,87102;0;;;;;;;;;;;;;
2,142;-0,072317023;-0,032749235;0,909829766;2,55865;-1,8724;-136,87102;0;;;;;;;;;;;;;
2,181;-0,033511723;0,095990826;1,276037717;2,78378;-1,87535;-136,95587;0;;;;;;;;;;;;;
2,219;0,06069419;-0,084367992;1,011723751;2,66935;-1,98935;-137,01028;0;;;;;;;;;;;;;
2,259;-0,172502548;0,102458716;1,338760449;2,62641;-1,95211;-137,06073;0;;;;;;;;;;;;;
2,306;0,204931702;-0,031040775;1,191228338;2,8181;-2,03672;-137,14575;0;;;;;;;;;;;;;
2,338;-0,407407747;0,0997737;0,970356779;2,82814;-2,04409;-137,20178;0;;;;;;;;;;;;;
2,34;0,05227421;0,126010194;1,02856371;2,82814;-2,04409;-137,20178;0;;;;;;;;;;;;;
2,381;-0,265610601;-0,05141998;0,926914373;2,90052;-2,03571;-137,25804;0;;;;;;;;;;;;;
